title,url,raw_price,description
https://www.sauto.cz/osobni/detail/skoda/octavia/209772954,"Škoda Octavia,
2,0 TDI Combi Ambition Plus",384 000 Kč,"2021, 121 166 km, Nafta, Manuální"
https://www.sauto.cz/osobni/detail/skoda/octavia/209772951,"Škoda Octavia,
1,6 TDI Combi Style LED+KESSY",340 000 Kč,"2020, 101 141 km, Nafta, Manuální"
https://www.sauto.cz/osobni/detail/skoda/karoq/209772948,"Škoda Karoq,
2,0 TDI Combi Ambition Plus",375 000 Kč,"2020, 186 804 km, Nafta, Manuální"
https://www.sauto.cz/osobni/detail/skoda/fabia/209772945,"Škoda Fabia,
1,0 TSI Combi Style PDC+AutoAC",265 000 Kč,"2020, 133 001 km, Benzín, Manuální"
https://www.sauto.cz/osobni/detail/mini/cooper/209772942,"Mini Cooper,
1,5 A7 LED+PDC+AutoAC",579 000 Kč,"2022, 38 761 km, Benzín, Automatická"
https://www.sauto.cz/osobni/detail/kia/xcee-d/209772939,"Kia XCee´d,
1,5 T-GDI Exclusive PDC+AutoAC",384 000 Kč,"2022, 56 815 km, Benzín, Manuální"
https://www.sauto.cz/osobni/detail/kia/sportage/209772936,"Kia Sportage,
1,6 T-GDI Exclusive NAVI+PDC",499 000 Kč,"2022, 35 926 km, Benzín, Manuální"
https://www.sauto.cz/osobni/detail/kia/proceed/209772930,"Kia ProCeed,
1,5 T-GDI GT Line Plus",484 000 Kč,"2022, 46 907 km, Benzín, Manuální"
https://www.sauto.cz/osobni/detail/kia/ev3/209675820,"Kia EV3,
Long Range, SoH 100%",950 000 Kč,"2024, 19 718 km, Elektro, Automatická"
https://www.sauto.cz/osobni/detail/hyundai/i30/209772927,"Hyundai i30,
1,5 CVVT Combi Comfort PDC",379 000 Kč,"2023, 16 526 km, Benzín, Manuální"
https://www.sauto.cz/osobni/detail/hyundai/i30/209772924,"Hyundai i30,
1,5 CVVT Combi Comfort PDC",365 000 Kč,"2023, 29 787 km, Benzín, Manuální"
https://www.sauto.cz/osobni/detail/hyundai/i30/209772921,"Hyundai i30,
1,0 T-GDI Combi Family Smart",315 000 Kč,"2022, 52 698 km, Benzín, Manuální"
https://www.sauto.cz/osobni/detail/volkswagen/tiguan/209765799,"Volkswagen Tiguan,
2,0 TSI 4Mot DSG Elegance LED",684 000 Kč,"2022, 108 766 km, Benzín, Automatická"
https://www.sauto.cz/osobni/detail/skoda/karoq/209765787,"Škoda Karoq,
1,5 TSI Style Plus TAŽNÉ+ACC",534 000 Kč,"2021, 81 755 km, Benzín, Manuální"
https://www.sauto.cz/osobni/detail/kia/proceed/209765781,"Kia ProCeed,
1,5 T-GDI GT Line Plus",484 000 Kč,"2022, 44 043 km, Benzín, Manuální"
https://www.sauto.cz/osobni/detail/volvo/xc40/209728116,"Volvo XC40,
2,0 B4 DCT Plus Dark PDC",674 000 Kč,"2022, 53 019 km, Benzín, Automatická"
https://www.sauto.cz/osobni/detail/volkswagen/tiguan/209728110,"Volkswagen Tiguan,
1,5 TSI Life PDC+ACC",519 000 Kč,"2022, 76 520 km, Benzín, Manuální"
https://www.sauto.cz/osobni/detail/volkswagen/golf/209728107,"Volkswagen Golf,
1,0 TSI Life LED+KESSY Varian",369 000 Kč,"2022, 86 994 km, Benzín, Manuální"
https://www.sauto.cz/osobni/detail/skoda/kodiaq/209728101,"Škoda Kodiaq,
2,0 TDI 4x4 DSG L&K TAŽNÉ+NAVI",809 000 Kč,"2023, 147 636 km, Nafta, Automatická"
https://www.sauto.cz/osobni/detail/opel/insignia/209728098,"Opel Insignia,
2,0 Turbo A9 Elegance Gr Sport",445 000 Kč,"2021, 104 581 km, Benzín, Automatická"
https://www.sauto.cz/osobni/detail/hyundai/i30/209728095,"Hyundai i30,
1,5 T-GDI Combi Smart",479 000 Kč,"2024, 58 639 km, Benzín, Automatická"
https://www.sauto.cz/osobni/detail/ford/ranger/209728092,"Ford Ranger,
2,0 TDCi 4x4 Limited Off-Road",659 000 Kč,"2020, 46 276 km, Nafta, Manuální"
https://www.sauto.cz/osobni/detail/volvo/xc40/209725320,"Volvo XC40,
2,0 B4 DCT Plus Dark PDC",699 000 Kč,"2022, 34 237 km, Benzín, Automatická"
https://www.sauto.cz/osobni/detail/skoda/kodiaq/209725317,"Škoda Kodiaq,
2,0 TDI 4x4 DSG L&K 7 Míst+TZ",779 000 Kč,"2022, 147 710 km, Nafta, Automatická"
https://www.sauto.cz/osobni/detail/skoda/octavia/209716902,"Škoda Octavia,
2,0 TDI Combi Ambition Plus",359 000 Kč,"2022, 143 910 km, Nafta, Manuální"
https://www.sauto.cz/osobni/detail/hyundai/i30/209716896,"Hyundai i30,
1,5 T-GDI Kombi DCT Smart",370 000 Kč,"2022, 70 850 km, Benzín, Automatická"
https://www.sauto.cz/osobni/detail/ford/kuga/209716890,"Ford Kuga,
1,5 EcoBlue ST-Line X",445 000 Kč,"2020, 108 314 km, Nafta, Manuální"
https://www.sauto.cz/osobni/detail/bmw/rada-1/209716887,"BMW Řada 1,
2,0 120d xDrive AT8 Advantage",584 000 Kč,"2021, 144 398 km, Nafta, Automatická"
https://www.sauto.cz/osobni/detail/audi/q2/209716884,"Audi Q2,
1,5 35 TFSI S line Stronic LED",545 000 Kč,"2022, 47 088 km, Benzín, Automatická"
https://www.sauto.cz/osobni/detail/ford/puma/206525532,"Ford Puma,
Titanium 1.0 EcoBoost 92kW MAN",509 800 Kč,"2026, 10 km, Benzín, Manuální"
https://www.sauto.cz/osobni/detail/volkswagen/arteon-shooting-brake/209707518,"Volkswagen Arteon Shooting Brake,
2,0 TDI DSG Elegance",709 000 Kč,"2022, 63 122 km, Nafta, Automatická"
https://www.sauto.cz/osobni/detail/skoda/octavia/209707509,"Škoda Octavia,
1,6 TDI Combi Style LED+KESSY",319 000 Kč,"2020, 142 129 km, Nafta, Manuální"
https://www.sauto.cz/osobni/detail/skoda/octavia/209707506,"Škoda Octavia,
1,6 TDI Combi Style LED+KESSY",309 000 Kč,"2020, 171 261 km, Nafta, Manuální"
