title,url,raw_price,description,price,year,mileage,fuel,transmission,brand
https://www.sauto.cz/osobni/detail/skoda/octavia/209788782,"Škoda Octavia,
1.4 TSi,Elegance,DSG,bixen",305 000 Kč,"2013, 86 570 km, Benzín, Automatická",305000.0,2013.0,86570.0,Benzín,Automatická,https://www.sauto.cz/osobni/detail/skoda/octavia/209788782
https://www.sauto.cz/osobni/detail/volkswagen/passat/209754753,"Volkswagen Passat,
1.6TDi,DSG,LED",205 000 Kč,"2015, 283 335 km, Nafta, Automatická",205000.0,2015.0,283335.0,Nafta,Automatická,https://www.sauto.cz/osobni/detail/volkswagen/passat/209754753
https://www.sauto.cz/osobni/detail/skoda/octavia/209729277,"Škoda Octavia,
2.0 TDi,Style,DSG,bixen",280 000 Kč,"2015, 143 162 km, Nafta, Automatická",280000.0,2015.0,143162.0,Nafta,Automatická,https://www.sauto.cz/osobni/detail/skoda/octavia/209729277
https://www.sauto.cz/osobni/detail/land-rover/defender/208802337,"Land Rover Defender,
110 D350 TROPHY AWD Aut",2 719 000 Kč,"2026, 5 km, Nafta, Automatická",2719000.0,2026.0,5.0,Nafta,Automatická,https://www.sauto.cz/osobni/detail/land-rover/defender/208802337
https://www.sauto.cz/osobni/detail/kia/ostatni/209711910,"Kia,
K4 CL4 1,0 T-GDi GPF SPIN",519 980 Kč,"2026, 0 km, Benzín, Manuální",519980.0,2026.0,0.0,Benzín,Manuální,https://www.sauto.cz/osobni/detail/kia/ostatni/209711910
https://www.sauto.cz/osobni/detail/volkswagen/passat/209669337,"Volkswagen Passat,
2.0TDi,Bixen,kamera",170 000 Kč,"2013, 273 495 km, Nafta, Manuální",170000.0,2013.0,273495.0,Nafta,Manuální,https://www.sauto.cz/osobni/detail/volkswagen/passat/209669337
https://www.sauto.cz/osobni/detail/volkswagen/passat/209823291,"Volkswagen Passat,
2.0TDi,DSG,LED,navi",260 000 Kč,"2018, 262 119 km, Nafta, Automatická",260000.0,2018.0,262119.0,Nafta,Automatická,https://www.sauto.cz/osobni/detail/volkswagen/passat/209823291
https://www.sauto.cz/osobni/detail/volkswagen/passat/209444445,"Volkswagen Passat,
1.4 TSI,Comfortline",289 000 Kč,"2016, 124 509 km, Benzín, Manuální",289000.0,2016.0,124509.0,Benzín,Manuální,https://www.sauto.cz/osobni/detail/volkswagen/passat/209444445
https://www.sauto.cz/osobni/detail/skoda/fabia/209865525,"Škoda Fabia,
1.2 TSI, Ambiente, Serv.kniha",105 000 Kč,"2011, 186 972 km, Benzín, Manuální",105000.0,2011.0,186972.0,Benzín,Manuální,https://www.sauto.cz/osobni/detail/skoda/fabia/209865525
https://www.sauto.cz/osobni/detail/volkswagen/passat/209455494,"Volkswagen Passat,
2.0TDi,DSG,navi,LED",359 000 Kč,"2019, 195 568 km, Nafta, Automatická",359000.0,2019.0,195568.0,Nafta,Automatická,https://www.sauto.cz/osobni/detail/volkswagen/passat/209455494
https://www.sauto.cz/osobni/detail/skoda/yeti/209865522,"Škoda Yeti,
1.2 tsi 77 kw",219 900 Kč,"2015, 149 150 km, Benzín, Manuální",219900.0,2015.0,149150.0,Benzín,Manuální,https://www.sauto.cz/osobni/detail/skoda/yeti/209865522
https://www.sauto.cz/osobni/detail/land-rover/range-rover-velar/209406633,"Land Rover Range Rover Velar,
D300 R-DYNAMIC S, 221KW, 1.maj",640 000 Kč,"2018, 156 780 km, Nafta, Automatická",640000.0,2018.0,156780.0,Nafta,Automatická,https://www.sauto.cz/osobni/detail/land-rover/range-rover-velar/209406633
https://www.sauto.cz/osobni/detail/bmw/x6/209647272,"BMW X6,
X6M50D",795 000 Kč,"2018, 153 000 km, Nafta, Automatická",795000.0,2018.0,153000.0,Nafta,Automatická,https://www.sauto.cz/osobni/detail/bmw/x6/209647272
https://www.sauto.cz/osobni/detail/skoda/octavia/209865513,"Škoda Octavia,
1.6 TDI 85kw",269 990 Kč,"2017, 141 850 km, Nafta, Manuální",269990.0,2017.0,141850.0,Nafta,Manuální,https://www.sauto.cz/osobni/detail/skoda/octavia/209865513
https://www.sauto.cz/osobni/detail/skoda/octavia/209865519,"Škoda Octavia,
2,0 TDi DSG Style",424 000 Kč,"2022, 113 452 km, Nafta, Manuální",424000.0,2022.0,113452.0,Nafta,Manuální,https://www.sauto.cz/osobni/detail/skoda/octavia/209865519
https://www.sauto.cz/osobni/detail/mercedes-benz/slk/209412906,"Mercedes-Benz SLK,
Zánovní stav, nová STK",185 000 Kč,"2005, 142 347 km, Benzín, Manuální",185000.0,2005.0,142347.0,Benzín,Manuální,https://www.sauto.cz/osobni/detail/mercedes-benz/slk/209412906
https://www.sauto.cz/osobni/detail/volvo/s90/209841936,"Volvo S90,
B5 AWD 173 kW Inscription 1maj",760 000 Kč,"2022, 112 057 km, Nafta, Automatická",760000.0,2022.0,112057.0,Nafta,Automatická,https://www.sauto.cz/osobni/detail/volvo/s90/209841936
https://www.sauto.cz/osobni/detail/hyundai/i10/209793000,"Hyundai i10,
Automat , servis, 1 majitel ČR",299 990 Kč,"2022, 25 400 km, Benzín, Automatická",299990.0,2022.0,25400.0,Benzín,Automatická,https://www.sauto.cz/osobni/detail/hyundai/i10/209793000
https://www.sauto.cz/osobni/detail/volkswagen/multivan/209676939,"Volkswagen Multivan,
Multivan 4x4, 103 kw, manuál.",549 000 Kč,"2015, 266 000 km, Nafta, Manuální",549000.0,2015.0,266000.0,Nafta,Manuální,https://www.sauto.cz/osobni/detail/volkswagen/multivan/209676939
https://www.sauto.cz/osobni/detail/toyota/auris/209664852,"Toyota Auris,
1,4 D-4D",72 000 Kč,"2007, 257 000 km, Nafta, Manuální",72000.0,2007.0,257000.0,Nafta,Manuální,https://www.sauto.cz/osobni/detail/toyota/auris/209664852
https://www.sauto.cz/osobni/detail/bmw/rada-7/209723766,"BMW Řada 7,
740 Li 240KW/1.M. AMBASÁDA ČLR",699 000 Kč,"2016, 55 000 km, Benzín, Automatická",699000.0,2016.0,55000.0,Benzín,Automatická,https://www.sauto.cz/osobni/detail/bmw/rada-7/209723766
https://www.sauto.cz/osobni/detail/volkswagen/id4/209487591,"Volkswagen ID.4,
Pro Performance 150kW 77kWh",759 900 Kč,"2023, 14 900 km, Elektro, Automatická",759900.0,2023.0,14900.0,Elektro,Automatická,https://www.sauto.cz/osobni/detail/volkswagen/id4/209487591
https://www.sauto.cz/osobni/detail/volvo/v60/209546400,"Volvo V60,
2,0 T6 4x4 Recharge TAŽNÉ ČR",819 900 Kč,"2022, 66 900 km, Hybridní, Automatická",819900.0,2022.0,66900.0,Hybridní,Automatická,https://www.sauto.cz/osobni/detail/volvo/v60/209546400
https://www.sauto.cz/osobni/detail/skoda/karoq/209628792,"Škoda Karoq,
1,5TSi 110kW STYLE DSG ACC ČR",499 900 Kč,"2022, 139 900 km, Benzín, Automatická",499900.0,2022.0,139900.0,Benzín,Automatická,https://www.sauto.cz/osobni/detail/skoda/karoq/209628792
https://www.sauto.cz/osobni/detail/skoda/octavia/209674782,"Škoda Octavia,
2,0TDi 85kW Koup.ČR,1.majitel",349 900 Kč,"2021, 148 700 km, Nafta, Manuální",349900.0,2021.0,148700.0,Nafta,Manuální,https://www.sauto.cz/osobni/detail/skoda/octavia/209674782
https://www.sauto.cz/osobni/detail/ford/tourneo-custom/208971753,"Ford Tourneo Custom,
Titanium L1 2.0 EcoBlue 110 kW",1 272 746 Kč,"2026, 25 km, Nafta, Manuální",1272746.0,2026.0,25.0,Nafta,Manuální,https://www.sauto.cz/osobni/detail/ford/tourneo-custom/208971753
https://www.sauto.cz/osobni/detail/volvo/xc40/207764374,"Volvo XC40,
B3 PLUS DARK - AKCE",889 950 Kč,"2025, 0 km, Benzín, Automatická",889950.0,2025.0,0.0,Benzín,Automatická,https://www.sauto.cz/osobni/detail/volvo/xc40/207764374
https://www.sauto.cz/osobni/detail/skoda/scala/209703141,"Škoda Scala,
1,5TSi 110kW STYLE Koup.ČR",359 900 Kč,"2020, 87 500 km, Benzín",359900.0,2020.0,87500.0,Benzín,Manual,https://www.sauto.cz/osobni/detail/skoda/scala/209703141
https://www.sauto.cz/osobni/detail/ford/fiesta/209703312,"Ford Fiesta,
1.0 Ecoboost 74 kW Trend 45tkm",289 900 Kč,"2022, 44 800 km, Benzín, Manuální",289900.0,2022.0,44800.0,Benzín,Manuální,https://www.sauto.cz/osobni/detail/ford/fiesta/209703312
https://www.sauto.cz/osobni/detail/skoda/superb/209756616,"Škoda Superb,
2,0TSi 140kW STYLE DSG ČR",429 900 Kč,"2020, 174 000 km, Benzín, Automatická",429900.0,2020.0,174000.0,Benzín,Automatická,https://www.sauto.cz/osobni/detail/skoda/superb/209756616
https://www.sauto.cz/osobni/detail/skoda/octavia/209756790,"Škoda Octavia,
2,0TDi 110kW STYLE Koup.ČR DPH",429 900 Kč,"2021, 123 500 km, Nafta",429900.0,2021.0,123500.0,Nafta,Manual,https://www.sauto.cz/osobni/detail/skoda/octavia/209756790
https://www.sauto.cz/osobni/detail/audi/s6/209782107,"Audi S6,
S6 4,0 331kW 1.maj., TOP STAV!",649 900 Kč,"2016, 206 000 km, Benzín, Automatická",649900.0,2016.0,206000.0,Benzín,Automatická,https://www.sauto.cz/osobni/detail/audi/s6/209782107
https://www.sauto.cz/osobni/detail/skoda/superb/209786451,"Škoda Superb,
1,5TSi 110kW STYLE ACC Koup.ČR",499 900 Kč,"2021, 124 900 km, Benzín, Manuální",499900.0,2021.0,124900.0,Benzín,Manuální,https://www.sauto.cz/osobni/detail/skoda/superb/209786451
https://www.sauto.cz/osobni/detail/skoda/enyaq-iv/209790816,"Škoda Enyaq iV,
195kW 80X LOFT 4x4 TAŽNÉ ČR 22",749 900 Kč,"2022, 92 000 km, Elektro, Automatická",749900.0,2022.0,92000.0,Elektro,Automatická,https://www.sauto.cz/osobni/detail/skoda/enyaq-iv/209790816
https://www.sauto.cz/osobni/detail/hyundai/getz/209865510,"Hyundai Getz,
1.3, ČR,1.maj, Tažné",25 000 Kč,"2004, 71 049 km, Benzín, Manuální",25000.0,2004.0,71049.0,Benzín,Manuální,https://www.sauto.cz/osobni/detail/hyundai/getz/209865510
https://www.sauto.cz/osobni/detail/skoda/karoq/209810163,"Škoda Karoq,
2,0TDi 110kW 4x4 DSG Koup.ČR",499 900 Kč,"2021, 105 500 km, Nafta, Automatická",499900.0,2021.0,105500.0,Nafta,Automatická,https://www.sauto.cz/osobni/detail/skoda/karoq/209810163
https://www.sauto.cz/osobni/detail/volkswagen/passat/209865507,"Volkswagen Passat,
1.9 TDI, Tažné",40 000 Kč,"2006, 235 541 km, Nafta, Manuální",40000.0,2006.0,235541.0,Nafta,Manuální,https://www.sauto.cz/osobni/detail/volkswagen/passat/209865507
